Date,Card Type,Product,Site No,Quantity,Unit Price,Cost,,
19/03/2024,BP BUNKER,BP CLEANER DIESEL,309909,210.45,1.320979,278,truck8,
19/03/2024,BP BUNKER,BP CLEANER DIESEL,090919,169.85,1.320989,224.37,truck39,
19/03/2024,BP BUNKER,BP CLEANER DIESEL,003353,165.63,1.321017,218.8,truck23,
19/03/2024,BP BUNKER,BP CLEANER DIESEL,284606,169.91,1.320993,224.45,truck33,
19/03/2024,BP BUNKER,BP AD BLUE,284606,31.1,1.264309,39.32,truck33,
19/03/2024,BP BUNKER,BP CLEANER DIESEL,003360,280.77,1.32101,370.9,truck15,
19/03/2024,BP BUNKER,BP AD BLUE,100001,29.6,1.832432,54.24,truck15,
15/03/2024,UK FUELS,DIESEL,8945,100,1.2728,127.28,truck44,
14/03/2024,UK FUELS,DIESEL (TP),6664,27.95,1.27263,35.57,truck31,
12/03/2024,UK FUELS,DIESEL,11117,295,1.272814,375.48,truck28,
12/03/2024,BP BUNKER,BP AD BLUE,003373,27.37,1.374132,37.61,truck46,
12/03/2024,BP BUNKER,BP CLEANER DIESEL,280705,160.16,1.329608,212.95,truck33,
12/03/2024,BP BUNKER,BP AD BLUE,280705,26.67,1.447319,38.6,truck33,
12/03/2024,BP BUNKER,BP CLEANER DIESEL,284606,200,1.3296,265.92,truck20,
12/03/2024,BP BUNKER,BP CLEANER DIESEL,306809,300.02,1.329611,398.91,truck46,
11/03/2024,BP BUNKER,BP CLEANER DIESEL,158909,85.84,1.329567,114.13,truck4,
09/03/2024,BP BUNKER,BP CLEANER DIESEL,344233,40,1.333,53.32,truck8,
08/03/2024,BP BUNKER,BP CLEANER DIESEL,010913,158.82,1.333081,211.72,truck27,
08/03/2024,BP BUNKER,BP CLEANER DIESEL,269126,50,1.3332,66.66,truck10,
08/03/2024,BP BUNKER,BP CLEANER DIESEL,450511,100,1.3331,133.31,truck33,
07/03/2024,UK FUELS,DIESEL (TP),10513,260.25,1.289683,335.64,truck26,
07/03/2024,BP BUNKER,BP CLEANER DIESEL,310101,149.29,1.33311,199.02,truck25,
06/03/2024,BP BUNKER,BP CLEANER DIESEL,283603,100,1.3331,133.31,truck33,
05/03/2024,BP BUNKER,BP CLEANER DIESEL,003478,118.48,1.295071,153.44,truck25,
05/03/2024,BP BUNKER,BP CLEANER DIESEL,158505,380.48,1.333106,507.22,truck8,
29/02/2024,UK FUELS,DIESEL,8945,200.01,1.287286,257.47,truck44,
29/02/2024,BP BUNKER,BP CLEANER DIESEL,269126,50.04,1.344924,67.3,truck14,
29/02/2024,UK FUELS,DIESEL,8652,137.5,1.287273,177,truck26,
28/02/2024,UK FUELS,DIESEL,10985,23,1.287391,29.61,truck24,
28/02/2024,UK FUELS,DIESEL (TP),10297,150.03,1.299807,195.01,truck45,
28/02/2024,BP BUNKER,BP CLEANER DIESEL,153409,153.38,1.344895,206.28,truck25,
27/02/2024,UK FUELS,DIESEL,8938,192,1.287292,247.16,truck40,
27/02/2024,UK FUELS,DIESEL,8652,135.22,1.28731,174.07,truck26,
27/02/2024,UK FUELS,DIESEL,8652,102.06,1.287282,131.38,truck26,
23/02/2024,BP BUNKER,BP CLEANER DIESEL,003491,100.05,1.364918,136.56,truck46,
